aba,age_vehicule,agepr,nb_autre_carbu,cataeu,cs42pr,nb_diesel,dip14pr,nb_essence,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1,prix_achat,rev_disponible,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_vehicule.1,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp
0,9,53,0,111,68,0,50,1,0,10689,0,0,0,0,1,1,0,1,1.0,3736.3377733,1040.52,0,10605.0,10605.0,4,3,6,4,1,1,0,0,0,0,1,0,0,10605.0,1,1,1_0,17014.748313,0.0,0.0,17014.748313,9,1464.2720594385557,0.0,1464.2720594385557
0,0,39,0,111,56,0,71,0,0,10690,0,0,0,0,1,2,3,4,2.1,1311.3538453,0.0,0,13469.0,13469.0,4,3,10,8,2,0,0,0,0,0,0,0,1,6413.80952380952,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,17,25,0,111,67,1,50,0,0,107,0,70,0,303,1,2,0,1,1.0,4912.602529,1300.0,0,7528.0,7528.0,4,3,8,7,1,1,0,1,0,0,0,1,0,7528.0,1,1,1_0,12174.056934,0.0,12174.056934,0.0,16,1047.6870471748607,1047.6870471748607,0.0
0,0,27,0,111,56,0,43,0,0,10706,0,0,0,0,1,3,1,2,1.3,1051.3840189,0.0,0,5319.5,5638.0,4,3,9,7,2,0,0,0,0,0,0,1,0,4091.92307692308,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,9,56,0,400,22,1,30,0,0,10719,0,0,0,0,2,3,0,2,1.5,2510.3443218,0.0,0,6713.3,8387.0,1,4,0,0,3,1,0,0,1,0,0,0,0,4475.53333333333,1,1,1_1,13923.896987,0.0,13923.896987,0.0,11,1092.8215245407296,1092.8215245407296,0.0
0,13,59,0,111,72,0,31,1,0,10722,0,0,0,69,0,1,0,1,1.0,3691.3627113,520.0,0,9970.0,9970.0,7,3,8,7,1,1,0,0,0,0,0,1,0,9970.0,1,1,1_0,2284.8051473,0.0,0.0,2284.8051473,11,196.62802393007598,0.0,196.62802393007598
2,0,68,0,400,77,0,70,0,0,10740,0,0,0,0,0,5,0,1,1.0,2600.3752107,0.0,0,7602.3,7835.0,5,2,0,0,1,0,0,0,1,0,0,0,0,7602.3,1,1,1_1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,5,60,0,212,13,1,50,0,0,10742,0,520,0,0,2,4,0,2,1.5,2279.9249792,2121.6,0,11514.0,12060.0,1,1,2,0,3,1,0,1,1,0,0,0,0,7676.0,1,1,1_1,13923.896987,0.0,13923.896987,0.0,11,1092.8215245407296,1092.8215245407296,0.0
0,1,48,0,111,54,1,50,0,2,10749,0,0,0,124,1,4,2,3,1.6,863.57341637,2080.0,17000,16224.0,16224.0,4,3,9,7,2,1,0,0,0,0,0,1,0,10140.0,1,1,1_0,17506.125306,0.0,17506.125306,0.0,2,1506.5594672958382,1506.5594672958382,0.0
0,17,56,0,112,85,1,50,0,0,10756,0,0,0,0,0,4,2,4,2.3,1106.2879919,0.0,0,10442.0,10442.0,7,3,8,0,4,1,0,0,1,0,0,0,0,4540.0,1,1,1_1,9302.216863,0.0,9302.216863,0.0,15,730.0874764674918,730.0874764674918,0.0
