age_vehicule,agepr,nb_autre_carbu,consommation,cs42pr,decile_rev,nb_diesel,dip14pr,distance_autre_carbu,distance_diesel,distance_essence,nb_essence,ident_men,nactifs,nenfants,niveau_vie_decile,npers,ocde10,pondmen,puissance,situapr,tuu,typmen,veh_tot,rural,petite_ville,moyenne_ville,grande_ville,paris,distance,niveau_vie_quintile,donation_class_3
9.0,37,0,6.0,38.0,10,1,15.0,0.0,11166.17185,0.0,0,1100000835000,2,2,9,4,2.1,1625.0241803,6.0,1.0,8,4,1,0,0,0,0,1,11166.17185,5.0,9_0
0.0,56,0,0.0,68.0,4,0,42.0,0.0,0.0,0.0,0,1100000848000,1,0,2,3,2.0,1499.3555316,0.0,1.0,8,5,0,0,0,0,0,1,0.0,1.0,2_0
0.0,31,0,0.0,85.0,5,0,51.0,0.0,0.0,0.0,0,1100000853000,0,4,2,5,2.2,5950.6249028,0.0,6.0,8,2,0,0,0,0,0,1,0.0,1.0,2_0
14.0,77,0,5.5,74.0,6,1,22.0,0.0,8188.0563774,1726.2847715,1,1100000854000,0,0,6,2,1.5,1998.8893324,5.0,5.0,3,3,2,0,1,0,0,0,9914.341148900001,3.0,6_0
5.0,41,1,5.5,46.0,9,1,32.0,9423.8284315,21095.038858,0.0,0,1100000855000,2,2,7,4,2.1,1960.8206068,5.0,1.0,3,4,2,0,1,0,0,0,30518.867289499998,4.0,7_0
0.0,80,0,0.0,86.0,3,0,71.0,0.0,0.0,0.0,0,1100000864000,0,0,5,1,1.0,1479.1306087,0.0,6.0,8,1,0,0,0,0,0,1,0.0,3.0,5_0
3.0,58,0,6.0,56.0,10,1,22.0,0.0,22725.476839,16375.3270787,2,1100000865000,4,2,8,4,2.5,1123.4538227,6.0,1.0,8,4,3,0,0,0,0,1,39100.8039177,4.0,8_0
0.0,60,0,0.0,56.0,2,0,52.0,0.0,0.0,0.0,0,1100000868000,1,0,3,1,1.0,1391.2770846,0.0,1.0,8,1,0,0,0,0,0,1,0.0,2.0,3_0
9.0,41,0,9999.0,23.0,10,1,16.0,0.0,10699.512343,1991.4079759,1,1100000915000,2,2,10,4,2.1,2375.7191976,12.0,1.0,8,4,2,0,0,0,0,1,12690.9203189,5.0,10_0
11.0,72,0,5.5,78.0,8,2,71.0,0.0,28744.2604114,0.0,0,1100000918000,1,2,4,4,2.5,1621.7362777,4.0,5.0,8,4,2,0,0,0,0,1,28744.2604114,2.0,4_0
0.0,83,0,0.0,86.0,4,0,71.0,0.0,0.0,0.0,0,1100000923000,0,0,6,1,1.0,1700.0586736,0.0,5.0,8,1,0,0,0,0,0,1,0.0,3.0,6_0
3.0,41,0,7.0,47.0,10,1,32.0,0.0,17743.930119,17606.002514,1,1100000926000,2,2,9,4,2.1,2883.6171405,8.0,1.0,4,4,2,0,0,1,0,0,35349.932633000004,5.0,9_0
4.0,35,0,6.0,37.0,10,1,14.0,0.0,15418.236343,0.0,0,1100000933000,2,2,10,4,2.1,3290.0329976,7.0,1.0,8,4,1,0,0,0,0,1,15418.236343,5.0,10_0
12.0,35,0,5.6,52.0,3,0,52.0,0.0,0.0,8103.5142699,1,1100000934000,1,0,5,1,1.0,3213.1482559,5.0,1.0,8,1,1,0,0,0,0,1,8103.5142699,3.0,5_0
