"aba","age_vehicule","agepr","nb_autre_carbu","cataeu","cs42pr","nb_diesel","dip14pr","nb_essence","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1","prix_achat","rev_disponible","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
2,0,56,0,111,31,0,30,0,0,12293,0,0,0,0,2,7,1,3,2,1966.3175737,0,0,90559.919131085,121054,1,1,10,8,4,0,0,0,0,0,0,0,1,45279.9595655425,10,5,"10_0",15619.454947,0,0,15619.454947
0,14,88,0,111,75,0,60,1,0,12294,0,0,0,0,0,4,0,1,1,2626.4529143,0,0,40330.35,46817,5,3,8,7,1,1,0,0,0,0,0,1,0,40330.35,10,5,"10_0",15619.454947,0,0,15619.454947
2,5,70,0,112,74,2,10,1,0,1230,0,0,0,0,0,6,0,2,1.5,1720.8167278,2774.72,0,66329.1,71077,5,1,9,3,3,3,0,0,0,1,0,0,0,44219.4,10,5,"10_0",25476.1656524,22681.509059,0,2794.6565934
2,0,37,0,111,37,0,20,0,0,12310,0,0,0,0,2,3,0,2,1.5,3784.5655551,0,0,74629.4,94678,1,2,10,8,3,0,0,0,0,0,0,0,1,49752.9333333333,10,5,"10_0",15619.454947,0,0,15619.454947
2,5,58,0,111,38,2,31,0,0,12324,0,530,0,0,1,5,0,2,1.5,1820.2020847,0,0,65852.4209016785,72545,1,1,9,7,3,2,0,0,0,0,0,1,0,43901.6139344523,10,5,"10_0",15619.454947,0,0,15619.454947
0,4,32,0,111,55,2,44,0,2,12335,0,3570,0,621,2,3,0,2,1.5,3338.9732264,0,27000,53783.4,56926,1,3,9,7,3,2,1,1,0,0,0,1,0,35855.6,10,5,"10_0",15619.454947,0,0,15619.454947
0,9,43,0,111,37,2,20,0,0,1235,0,207,0,0,2,6,1,3,1.8,3928.7561528,0,0,68725.65,76158,1,3,8,6,4,2,1,1,0,0,1,0,0,38180.9166666667,10,5,"10_0",15619.454947,0,0,15619.454947
2,1,69,0,111,74,0,41,2,1,12363,0,0,0,0,0,5,0,2,1.5,1634.5483817,0,15000,60544.85,67760,5,1,9,7,3,2,0,0,0,0,0,1,0,40363.2333333333,10,5,"10_0",15619.454947,0,0,15619.454947
0,6,36,0,111,37,1,20,0,0,12366,0,20,0,2050,2,6,1,3,1.8,1960.9857424,0,0,88726.25,108593,1,3,9,7,4,1,0,1,0,0,0,1,0,49292.3611111111,10,5,"10_0",15619.454947,0,0,15619.454947
2,11,40,0,111,37,1,12,0,0,12390,0,0,0,0,2,3,0,2,1.5,3098.444504,0,0,81317.8,101739,1,2,10,8,3,1,0,0,0,0,0,0,1,54211.8666666667,10,5,"10_0",15619.454947,0,0,15619.454947
2,9,63,0,120,75,2,33,0,0,12411,0,300,0,0,1,6,0,2,1.5,1861.1861879,1560,0,68015.2,75364,5,2,0,2,3,2,1,1,0,1,0,0,0,45343.4666666667,10,5,"10_0",17939.486761,0,17939.486761,0
2,21,55,0,111,45,1,20,1,0,12476,0,0,0,0,1,6,0,2,1.5,1370.1406862,4317.04,0,59556.55,65509,1,2,6,4,3,2,0,0,0,0,1,0,0,39704.3666666667,10,5,"10_0",37833.594686,0,37833.594686,0
0,7,33,0,111,37,0,31,1,0,12489,0,0,0,0,2,3,0,2,1.5,1829.6326255,1820,0,64254.05,70453,1,3,10,8,3,1,0,0,0,0,0,0,1,42836.0333333333,10,5,"10_0",18838.583461,0,18838.583461,0
2,2,73,0,112,74,2,10,0,0,12514,0,0,0,0,0,5,0,2,1.5,2372.8449136,3328,0,69642.559759155,86248,5,1,7,4,3,2,0,0,0,0,1,0,0,46428.37317277,10,5,"10_0",30925.8930103,0,19901.2698563,11024.623154
2,4,48,0,111,38,1,31,0,2,12538,0,0,0,0,1,4,1,3,2,712.99034639,0,16500,85771.4,101727,1,2,9,7,4,1,0,0,0,0,0,1,0,42885.7,10,5,"10_0",15619.454947,0,0,15619.454947
2,16,55,0,111,34,1,20,1,0,12561,0,240,0,0,2,6,0,2,1.5,1634.2916338,3257.28,0,83687.3,100147,1,1,9,7,3,2,0,0,0,0,0,1,0,55791.5333333333,10,5,"10_0",29916.0355114,16427.23899,0,13488.7965214
2,10,38,0,111,31,1,10,1,0,12563,0,0,200,0,1,7,2,4,2.1,3981.7220876,3952,0,163061.2,222005,1,2,9,7,4,2,0,0,0,0,0,1,0,77648.1904761905,10,5,"10_0",35909.334379,0,24884.711225,11024.623154
2,4,78,0,111,74,1,12,1,2,12569,0,0,0,0,0,9,0,2,1.5,1536.579387,3889.08,7000,63312.448634621,71130,5,1,5,4,3,2,0,0,0,0,1,0,0,42208.2990897473,10,5,"10_0",35290.89962,0,16154.186717,19136.712903
0,5,57,0,112,37,1,42,0,0,12572,0,300,0,450,2,4,0,2,1.5,1819.6261633,0,0,71102.6,81395,1,3,9,3,3,1,1,1,0,1,0,0,0,47401.7333333333,10,5,"10_0",15619.454947,0,0,15619.454947
2,2,54,0,111,46,0,60,1,2,12580,0,0,700,0,1,4,0,1,1,2339.2727045,0,18000,39582.55,50547,1,1,8,6,1,1,0,1,0,0,1,0,0,39582.55,10,5,"10_0",15619.454947,0,0,15619.454947
2,7,87,0,111,74,0,41,2,0,1259,0,0,0,0,0,5,0,2,1.5,2047.1631775,1560,0,58258.6821196595,66313,5,1,6,5,3,2,0,0,0,0,1,0,0,38839.1214131063,10,5,"10_0",17939.486761,0,17939.486761,0
2,0,60,0,111,46,0,71,0,0,12627,0,0,0,0,2,4,1,2,1.5,3088.9354103,0,0,56319.05,64231,1,1,10,8,2,0,0,0,0,0,0,0,1,37546.0333333333,10,5,"10_0",15619.454947,0,0,15619.454947
2,17,63,0,111,74,0,12,2,0,12634,0,0,0,0,0,7,0,2,1.5,2333.9180747,5877.04,0,157344.535450836,182424,5,1,10,8,3,2,0,0,0,0,0,0,1,104896.356967224,10,5,"10_0",55869.7876484,0,9884.2650334,45985.522615
0,15,39,0,112,37,0,30,2,0,12639,0,0,0,0,2,4,1,3,1.8,2332.8977062,8051.16,0,68173.8,77553,1,3,10,4,4,2,0,0,0,0,1,0,0,37874.3333333333,10,5,"10_0",80849.118056,0,80849.118056,0
2,1,60,0,120,33,1,20,1,0,12650,0,99999,220,0,2,7,0,2,1.5,1504.8257831,0,0,82407.506670175,87422,1,1,0,1,3,2,0,1,0,1,0,0,0,54938.3377801167,10,5,"10_0",15619.454947,0,0,15619.454947
0,5,47,0,111,33,1,20,0,0,12651,0,93,0,660,1,3,0,1,1,2684.9327352,0,0,48265.85,58275,1,3,7,5,1,1,0,1,0,0,1,0,0,48265.85,10,5,"10_0",15619.454947,0,0,15619.454947
2,12,59,0,111,37,1,41,1,0,12660,0,0,131,0,1,6,0,1,1,1467.6657425,2320.76,0,53491.2,58676,1,2,6,4,1,2,0,1,0,0,1,0,0,53491.2,10,5,"10_0",21778.7477945,0,0,21778.7477945
2,1,79,0,111,74,0,60,1,2,12695,0,0,0,0,0,5,0,2,1.5,1487.4346501,0,10500,61188,73410,5,1,10,8,3,1,0,0,0,0,0,0,1,40792,10,5,"10_0",15619.454947,0,0,15619.454947
2,7,42,0,300,12,2,44,1,2,12722,0,500,0,0,2,6,3,5,2.6,1569.2289532,5405.92,30000,124151.15,130964,1,2,0,1,4,3,0,1,0,1,0,0,0,47750.4423076923,10,5,"10_0",44685.1061966,0,44685.1061966,0
2,8,56,0,211,37,2,12,3,0,12726,0,0,64,0,1,7,0,2,1.5,2706.9695949,2602.08,0,70000.32238415,84163,1,2,1,3,3,5,0,0,0,1,0,0,0,46666.8815894333,10,5,"10_0",24611.8917378,0,24611.8917378,0
0,22,54,0,111,33,2,20,0,0,1273,0,47,0,0,2,5,1,3,2,1841.877585,3956.16,0,72645.2386270965,74192,1,4,8,7,4,2,0,0,0,0,0,1,0,36322.6193135483,10,5,"10_0",35909.334379,0,24884.711225,11024.623154
