,ident,pondmen,agepr,cataeu,cs42pr,ppa,ocde10,nactifs,nactoccup,npers,nivviem,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_etranger,rev_valeurs_mobilieres_bruts,revdecm,rev_disponible,salaires,,stalog,tau,mhab_d,tuu,typmen,donation_class_1
130,17000134,466.92129707,53,111,72.0,0,1.5,0,0,2,10159.333333,0,0,0,0,0,0,11980,15240,0,1,,7,150,5,3,0
131,17000135,415.99631327,34,211,42.0,510,1.8,2,2,3,22204.444444,0,1760,0,0,0,0,37150,39970,18140,2,,3,570,3,5,2
132,17000136,570.49188527,29,112,54.0,0,1.8,2,2,3,24613.888889,0,0,0,0,0,0,46700,44310,45070,1,,9,890,1,4,2
133,17000137,721.73550986,63,112,77.0,0,2.0,2,2,3,26027.5,6260,0,0,20150,0,0,48810,52060,27060,2,,9,860,3,2,2
134,17000138,532.02266726,68,111,77.0,0,1.5,1,0,2,15251.333333,9720,0,8430,1180,0,0,1190,22880,0,2,,9,0,7,2,1
135,17000139,496.20191902,84,111,72.0,0,1.5,0,0,2,23218.666667,0,0,0,13610,0,0,37440,34830,0,1,,8,0,6,3,0
136,17000140,568.1302337,94,112,71.0,0,1.0,0,0,1,14831.0,0,0,0,13670,0,0,13760,14830,0,1,,8,370,0,1,0
137,17000141,421.0579376,72,111,74.0,0,1.5,0,0,2,29224.0,0,0,0,39540,0,20,50880,43840,0,1,,6,1920,5,3,0
138,17000142,505.87450061,33,111,38.0,0,1.8,2,1,3,21443.888889,0,0,0,0,0,1080,36290,38600,33870,1,,9,1050,7,4,2
139,17000143,368.49910197,83,111,75.0,0,1.0,0,0,1,43567.0,0,0,0,35480,0,1840,39060,43570,0,1,,6,1430,4,1,0
140,17000144,469.39470819,41,111,68.0,1270,1.6,1,1,3,11801.25,0,6070,0,0,0,0,2000,18880,1930,2,,8,0,7,2,1
141,17000145,398.34654437,87,111,72.0,0,1.0,0,0,1,15377.0,0,0,0,15250,0,50,15430,15380,0,2,,7,0,5,1,0
142,17000146,573.8144686,79,111,75.0,0,1.0,0,0,1,30007.0,0,0,0,33180,0,0,34220,30010,0,2,4.0,9,770,7,1,0
143,17000147,550.99363683,79,111,77.0,0,1.0,0,0,1,11479.0,0,0,0,12160,0,0,12240,11480,0,2,,9,760,7,1,0
144,17000148,812.20292963,50,111,67.0,0,1.5,2,2,2,31502.0,0,0,0,0,0,220,52400,47250,50360,1,,9,920,7,3,2
145,17000149,445.46944043,32,112,37.0,0,1.0,1,1,1,28745.0,0,0,0,0,0,0,34450,28750,33250,1,,10,1070,4,1,1
146,17000150,392.18557298,78,111,77.0,0,1.0,0,0,1,24819.0,0,0,0,26940,0,0,27790,24820,0,2,,8,750,7,1,0
147,17000151,338.22251864,83,112,78.0,0,1.0,0,0,1,15732.0,0,0,0,15640,0,0,15770,15730,0,2,2.0,9,0,0,1,0
148,17000152,424.87617754,36,111,54.0,0,2.1,2,2,4,22495.714286,0,0,0,0,0,0,46650,47240,45020,1,,8,1030,6,4,2
149,17000153,543.6437857,58,111,46.0,0,1.0,1,1,1,22061.0,0,0,0,0,0,680,25250,22060,23720,1,,8,590,7,1,1
150,17000154,351.12399717,55,112,43.0,0,1.5,1,1,2,15166.0,0,0,0,0,0,30,21590,22750,17460,2,,6,290,0,2,1
151,17000155,373.92552239,55,120,67.0,0,1.5,2,2,2,17884.0,0,0,0,0,0,0,27270,26830,32050,1,,0,570,0,3,2
152,17000156,713.69230634,33,112,52.0,1920,1.8,1,1,3,12133.333333,0,0,0,0,0,0,18700,21840,18050,1,,10,410,4,4,1
153,17000157,817.50333455,34,111,78.0,0,2.9,0,0,6,4042.0689655,0,3210,0,0,0,0,0,11720,0,2,3.0,8,0,7,2,0
154,17000158,482.65057446,87,400,71.0,0,1.0,0,0,1,13877.0,0,0,0,13830,0,30,13940,13880,0,2,,0,0,0,1,0
155,17000159,469.95895378,64,400,56.0,0,1.5,1,1,2,21694.0,6880,0,0,3850,0,2270,16920,32540,11260,2,,0,0,0,5,1
156,17000160,360.61644556,72,112,75.0,0,1.5,0,0,2,24395.333333,0,0,0,37330,0,60,38560,36590,0,1,,8,780,2,3,0
157,17000161,300.84896608,49,112,43.0,0,1.8,2,2,3,22452.222222,0,0,0,0,0,10,43860,40410,41730,1,,8,900,0,4,2
158,17000162,549.23010776,37,111,54.0,0,1.0,1,1,1,7794.0,0,5770,0,0,0,0,180,7790,0,1,,9,280,7,1,1
159,17000163,653.21757218,43,111,21.0,0,2.3,2,2,4,23724.347826,0,0,0,0,0,0,57210,54570,36100,1,,9,1260,7,4,2
160,17000164,456.95978023,56,111,46.0,540,1.0,1,1,1,18184.0,0,0,0,2120,0,670,18050,18180,14660,2,,9,0,7,1,1
161,17000165,1018.0152749,54,112,62.0,0,2.0,3,2,3,27468.0,0,0,0,0,0,0,61220,54940,56180,1,,6,460,0,4,3
162,17000166,402.02147907,60,112,48.0,0,1.0,1,1,1,30487.0,0,0,0,0,0,0,33130,30490,31980,1,,8,710,0,1,1
163,17000167,438.70703809,42,120,21.0,0,2.0,3,3,3,27591.0,0,0,0,0,0,2000,61220,55180,56520,1,,0,850,2,4,3
164,17000168,927.74116524,50,111,43.0,4460,2.0,1,1,3,13577.5,0,0,0,0,0,0,21570,27160,20320,2,,9,290,7,2,1
165,17000169,413.04365642,71,111,74.0,0,1.5,0,0,2,30481.933333,0,0,0,47660,0,2780,52760,45720,0,1,,8,680,7,3,0
166,17000170,433.72666708,73,112,72.0,0,1.5,0,0,2,19070.0,0,0,0,29460,0,0,30210,28610,0,1,,9,860,2,3,0
167,17000171,380.75715679,55,111,43.0,0,1.0,1,1,1,44969.0,0,0,0,0,0,0,53900,44970,0,2,,6,1310,4,1,1
168,17000172,413.91148572,38,111,38.0,0,2.1,2,2,4,31896.190476,0,0,0,0,110,0,77150,66980,42450,1,,8,610,7,4,2
